"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
115,설화명곡,S2701,대구 도시철도 1호선,SeolhwaMyeonggok,舌化椧谷,일반역,,,35.7987183,128.4893178,대구광역시 대구도시철도공사,대구광역시 달성군 화원읍 비슬로 2476,053-643-2674,2019-09-23
116,화원,S2701,대구 도시철도 1호선,Hwawon,花園,일반역,,,35.8043566,128.5004042,대구광역시 대구도시철도공사,대구광역시 달성군 화원읍 비슬로 지하2600,053-643-5125,2019-09-23
117,대곡,S2701,대구 도시철도 1호선,Daegok,大谷,일반역,,,35.809497,128.510391,대구광역시 대구도시철도공사,대구광역시 달서구 비슬로 지하2718 (대곡동),053-644-7723,2019-09-23
118,진천,S2701,대구 도시철도 1호선,Jincheon,辰泉,일반역,,,35.813826,128.520397,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하76 (진천동),053-642-7723,2019-09-23
119,월배,S2701,대구 도시철도 1호선,Wolbae,月背,일반역,,,35.816276,128.528392,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하143 (진천동),053-642-7732,2019-09-23
120,상인,S2701,대구 도시철도 1호선,Sangin,上仁,일반역,,,35.818966,128.535684,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하223 (상인동),053-642-7745,2019-09-23
121,월촌,S2701,대구 도시철도 1호선,Wolchon,月村,일반역,,,35.823688,128.543277,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하311 (송현동),053-626-7710,2019-09-23
122,송현,S2701,대구 도시철도 1호선,Songhyeon,松峴,일반역,,,35.831079,128.549562,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하412 (송현동),053-626-7730,2019-09-23
123,성당못,S2701,대구 도시철도 1호선,Seongdangmot,聖堂못,일반역,,,35.837471,128.555224,대구광역시 대구도시철도공사,대구광역시 남구 월배로 지하501 (대명동),053-651-7736,2019-09-23
124,대명,S2701,대구 도시철도 1호선,Daemyeong,大明,일반역,,,35.839302,128.563288,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하71 (대명동),053-627-7746,2019-09-23
125,안지랑,S2701,대구 도시철도 1호선,Anjirang,없음,일반역,,,35.839243,128.571705,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하141 (대명동),053-626-7747,2019-09-23
126,현충로,S2701,대구 도시철도 1호선,Hyeonchungno,顯忠路,일반역,,,35.840911,128.579194,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,2019-09-23
127,영대병원,S2701,대구 도시철도 1호선,Y.N.Univ.Hosp,嶺大病院,일반역,,,35.844269,128.586057,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하292 (대명동),053-626-7760,2019-09-23
128,교대,S2701,대구 도시철도 1호선,Univ. of Educ,敎大,일반역,,,35.851106,128.588432,대구광역시 대구도시철도공사,대구광역시 남구 중앙대로 지하194 (대명동),053-473-7702,2019-09-23
129,명덕,S2701,대구 도시철도 1호선,Myeongdeok,明德,환승역,S2701+S2703,대구 도시철도 1호선 + 대구 도시철도 3호선,35.8580257,128.5824361,대구광역시 대구도시철도공사,대구광역시 중구 명덕로 지하185 (남산동),053-255-7723,2019-09-23
130,반월당,S2701,대구 도시철도 1호선,Banwoldang,半月堂,환승역,S2701+S2702,대구 도시철도 1호선 + 대구 도시철도 2호선,35.864678,128.591147,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-255-7735,2019-09-23
131,중앙로,S2701,대구 도시철도 1호선,Jungangno,中央路,일반역,,,35.870913,128.591799,대구광역시 대구도시철도공사,대구광역시 중구 중앙대로 지하424 (남일동),053-256-7746,2019-09-23
132,대구,S2701,대구 도시철도 1호선,Daegu sta.,大邱驛,일반역,,,35.8763691,128.5884861,대구광역시 대구도시철도공사,대구광역시 북구 칠성남로30길 지하24 (칠성동),053-426-7797,2019-09-23
133,칠성시장,S2701,대구 도시철도 1호선,Chilseong Market,七星市場,일반역,,,35.876141,128.602971,대구광역시 대구도시철도공사,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,2019-09-23
134,신천,S2701,대구 도시철도 1호선,Sincheon,新川,일반역,,,37.511624,127.083391,대구광역시 대구도시철도공사,대구광역시 동구 동부로 지하41 (신천동),053-756-7706,2019-09-23
135,동대구,S2701,대구 도시철도 1호선,Dongdaegu sta.,東大邱驛,일반역,,,35.877303,128.627513,대구광역시 대구도시철도공사,대구광역시 동구 동대구로 지하530 (신천동),053-742-7787,2019-09-23
136,큰고개,S2701,대구 도시철도 1호선,Keungogae,없음,일반역,,,35.8838366,128.6316231,대구광역시 대구도시철도공사,대구광역시 동구 신암남로 지하169 (신암동),053-942-7721,2019-09-23
137,아양교,S2701,대구 도시철도 1호선,Ayanggyo,峨洋橋,일반역,,,35.887162,128.6375663,대구광역시 대구도시철도공사,대구광역시 동구 아양로 지하245 (신암동),053-942-7724,2019-09-23
138,동촌,S2701,대구 도시철도 1호선,Dongchon,東村,일반역,,,35.886159,128.649053,대구광역시 대구도시철도공사,대구광역시 동구 해동로 지하197 (검사동),053-981-7731,2019-09-23
139,해안,S2701,대구 도시철도 1호선,Haean,解顔,일반역,,,35.8838981,128.6593108,대구광역시 대구도시철도공사,대구광역시 동구 동촌로 지하167 (방촌동),053-981-7775,2019-09-23
140,방촌,S2701,대구 도시철도 1호선,Bangchon,芳村,일반역,,,35.879692,128.669976,대구광역시 대구도시철도공사,대구광역시 동구 동촌로 지하275 (방촌동),053-984-7716,2019-09-23
141,용계,S2701,대구 도시철도 1호선,Yonggye,龍溪,일반역,,,35.876273,128.681415,대구광역시 대구도시철도공사,대구광역시 동구 동촌로 지하383 (용계동),053-985-7798,2019-09-23
142,율하,S2701,대구 도시철도 1호선,Yulha,栗下,일반역,,,35.869579,128.693032,대구광역시 대구도시철도공사,대구광역시 동구 안심로 지하57 (율하동),053-962-7729,2019-09-23
143,신기,S2701,대구 도시철도 1호선,Singi,新基,일반역,,,35.866759,128.701658,대구광역시 대구도시철도공사,대구광역시 동구 안심로 지하159 (신기동),053-962-7773,2019-09-23
144,반야월,S2701,대구 도시철도 1호선,Banyawol,半夜月,일반역,,,35.865999,128.713553,대구광역시 대구도시철도공사,대구광역시 동구 안심로 지하261 (동호동),053-962-7798,2019-09-23
145,각산,S2701,대구 도시철도 1호선,Gaksan,角山,일반역,,,35.868012,128.724389,대구광역시 대구도시철도공사,대구광역시 동구 안심로 지하363 (신서동),053-963-7754,2019-09-23
146,안심,S2701,대구 도시철도 1호선,Ansim,安心,일반역,,,35.871227,128.733739,대구광역시 대구도시철도공사,대구광역시 동구 안심로 지하455 (괴전동),053-963-7769,2019-09-23
216,문양,S2702,대구 도시철도 2호선,Munyang,汶陽,일반역,,,35.864171,128.436969,대구광역시 대구도시철도공사,대구광역시 달성군 다사읍 문양길 71,053-584-6826,2019-09-23
217,다사,S2702,대구 도시철도 2호선,Dasa,多斯,일반역,,,35.8649583,128.4561083,대구광역시 대구도시철도공사,대구광역시 달성군 다사읍 다사로지하30,053-588-6680,2019-09-23
218,대실,S2702,대구 도시철도 2호선,Daesil,없음,일반역,,,35.8579028,128.4644392,대구광역시 대구도시철도공사,대구광역시 달성군 다사읍 달구벌대로지하888,053-587-1933,2019-09-23
219,강창,S2702,대구 도시철도 2호선,Gangchang,江倉,일반역,,,35.8530713,128.4770843,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1014 (호산동),053-585-0660,2019-09-23
220,계명대,S2702,대구 도시철도 2호선,Keimyung Univ.,啓明大,일반역,,,35.8511654,128.4909082,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1140 (신당동),053-588-0990,2019-09-23
221,성서산업단지,S2702,대구 도시철도 2호선,Seongseo Industrial Complex,城西工團,일반역,,,35.8516818,128.5068662,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1280 (이곡동),053-582-6215,2019-09-23
222,이곡,S2702,대구 도시철도 2호선,Igok,梨谷,일반역,,,35.850578,128.515776,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1357 (이곡동),053-582-6214,2019-09-23
223,용산,S2702,대구 도시철도 2호선,Yongsan,龍山,일반역,,,35.849053,128.528702,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1476 (용산동),053-553-3598,2019-09-23
224,죽전,S2702,대구 도시철도 2호선,Jukjeon,竹田,일반역,,,35.8503956,128.5381172,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1560 (죽전동),053-556-0292,2019-09-23
225,감삼,S2702,대구 도시철도 2호선,Gamsam,甘三,일반역,,,35.8542327,128.5477848,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1665 (감삼동),053-552-2856,2019-09-23
226,두류,S2702,대구 도시철도 2호선,Duryu,頭流,일반역,,,35.8578873,128.5552363,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1760 (두류동),053-628-3663,2019-09-23
227,내당,S2702,대구 도시철도 2호선,Naedang,內唐,일반역,,,35.860139,128.564636,대구광역시 대구도시철도공사,대구광역시 달서구 달구벌대로 지하1900 (두류동),053-656-6038,2019-09-23
228,반고개,S2702,대구 도시철도 2호선,Bangogae,없음,일반역,,,35.862248,128.572731,대구광역시 대구도시철도공사,대구광역시 서구 달구벌대로 지하1827 (내당동),053-655-1196,2019-09-23
229,신남,S2702,대구 도시철도 2호선,Sinnam,新南,환승역,S2702+S2703,대구 도시철도 2호선 + 대구 도시철도 3호선,35.864875,128.582358,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2000 (동산동),053-256-7728,2019-09-23
230,반월당,S2702,대구 도시철도 2호선,Banwoldang,半月堂,환승역,S2702+S2701,대구 도시철도 2호선 + 대구 도시철도 1호선,35.865513,128.593393,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-252-0689,2019-09-23
231,경대병원,S2702,대구 도시철도 2호선,Kyung-dae hosp.,慶大病院,일반역,,,35.863183,128.602626,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2190 (삼덕동),053-427-0523,2019-09-23
232,대구은행,S2702,대구 도시철도 2호선,Daegu Bank,大邱銀行,일반역,,,35.859777,128.614091,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2300 (수성동),053-752-0206,2019-09-23
233,범어,S2702,대구 도시철도 2호선,Beomeo,泛魚,일반역,,,35.8590259,128.6238385,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2396 (범어동),053-756-9376,2019-09-23
234,수성구청,S2702,대구 도시철도 2호선,Suseong-gu Office,壽城區廳,일반역,,,35.8585726,128.6360776,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2500 (범어동),053-756-7822,2019-09-23
235,만촌,S2702,대구 도시철도 2호선,Manchon,晩村,일반역,,,35.8580984,128.6429934,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2584 (만촌동),053-751-0287,2019-09-23
236,담티,S2702,대구 도시철도 2호선,Damti,(壽城大.大倫),일반역,,,35.8548283,128.6517483,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2672 (만촌동),053-752-0959,2019-09-23
237,연호,S2702,대구 도시철도 2호선,Yeonho,蓮湖,일반역,,,35.8463606,128.6712747,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2870 (연호동),053-791-0922,2019-09-23
238,대공원,S2702,대구 도시철도 2호선,Daegongwon(Grand Park),大公園,일반역,,,35.8426754,128.6797386,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2950 (연호동),053-791-0881,2019-09-23
239,고산,S2702,대구 도시철도 2호선,Gosan,孤山,일반역,,,35.8428892,128.6928426,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하3080 (시지동),053-791-0858,2019-09-23
240,신매,S2702,대구 도시철도 2호선,Sinmae,新梅,일반역,,,35.8408467,128.7045286,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하3180 (매호동),053-791-0898,2019-09-23
241,사월,S2702,대구 도시철도 2호선,Sawol,沙月,일반역,,,35.8369933,128.7134473,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하3290 (신매동),053-795-0767,2019-09-23
242,정평,S2702,대구 도시철도 2호선,Jeongpyeong,正坪,일반역,,,35.8340843,128.7264743,대구광역시 대구도시철도공사,경상북도 경산시 대학로 지하60(정평동),053-811-4753,2019-09-23
243,임당,S2702,대구 도시철도 2호선,Imdang,林堂,일반역,,,35.8343906,128.7408599,대구광역시 대구도시철도공사,경상북도 경산시 대학로 지하170(중방동),053-811-0732,2019-09-23
244,영남대,S2702,대구 도시철도 2호선,Yeungnam University,嶺南大,일반역,,,35.8363683,128.7507913,대구광역시 대구도시철도공사,경상북도 경산시 대학로 지하270(대동),053-801-3785,2019-09-23
312,칠곡경대병원,S2703,대구 도시철도 3호선,Chilgok Kyungpook Nat‘l Univ. Medical Center,漆谷 慶大病院,일반역,,,35.9583939,128.5599142,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 386(동호동),053-640-7381,2019-09-23
313,학 정,S2703,대구 도시철도 3호선,Hakjeong,鶴亭,일반역,,,35.951577,128.5591956,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 310(학정동),053-640-7381,2019-09-23
314,팔 거,S2703,대구 도시철도 3호선,Palgeo,八거,일반역,,,35.944126,128.5583539,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 226(동천동),053-640-7381,2019-09-23
315,동 천,S2703,대구 도시철도 3호선,Dongcheon,東川,일반역,,,35.9377071,128.5566602,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 147(동천동),053-640-7381,2019-09-23
316,칠곡운암,S2703,대구 도시철도 3호선,Chilgok·Unam,漆谷雲岩,일반역,,,35.9314868,128.5545711,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 79(구암동),053-640-7381,2019-09-23
317,구 암,S2703,대구 도시철도 3호선,Guam,鳩岩,일반역,,,35.9257608,128.5504075,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 1(구암동),053-640-7381,2019-09-23
318,태 전,S2703,대구 도시철도 3호선,Taejeon,太田,일반역,,,35.9197078,128.5474952,대구광역시 대구도시철도공사,대구광역시 북구 칠곡중앙대로 262(태전동),053-640-7431,2019-09-23
319,매 천,S2703,대구 도시철도 3호선,Maecheon,梅川,일반역,,,35.9127328,128.5433793,대구광역시 대구도시철도공사,대구광역시 북구 학정로 6(매천동),053-640-7431,2019-09-23
320,매천시장,S2703,대구 도시철도 3호선,Maecheon Market,梅川市場,일반역,,,35.9044626,128.5457614,대구광역시 대구도시철도공사,대구광역시 북구 매천로 18길 39(매천동),053-640-7431,2019-09-23
321,팔 달,S2703,대구 도시철도 3호선,Paldal,八達,일반역,,,35.8978498,128.5467575,대구광역시 대구도시철도공사,대구광역시 북구 매천로2길 43(팔달동),053-640-7431,2019-09-23
322,공 단,S2703,대구 도시철도 3호선,Gongdan,工團,일반역,,,35.8919855,128.5536204,대구광역시 대구도시철도공사,대구광역시 북구 팔달로 28(비산동),053-640-7431,2019-09-23
323,만 평,S2703,대구 도시철도 3호선,Manpyeong,萬坪,일반역,,,35.8898678,128.561021,대구광역시 대구도시철도공사,대구광역시 북구 팔달로 105(노원동3가),053-640-7431,2019-09-23
324,팔달시장,S2703,대구 도시철도 3호선,Paldal Market,八達市場,일반역,,,35.8888598,128.567844,대구광역시 대구도시철도공사,대구광역시 북구 팔달로 163-1(노원동3가),053-640-7521,2019-09-23
325,원 대,S2703,대구 도시철도 3호선,Wondae,院垈,일반역,,,35.8878671,128.5742706,대구광역시 대구도시철도공사,대구광역시 서구 팔달로 224-2(원대동3가),053-640-7521,2019-09-23
326,북구청,S2703,대구 도시철도 3호선,Buk-gu Office,北區廳,일반역,,,35.8838928,128.5814795,대구광역시 대구도시철도공사,대구광역시 서구 원대로 71(원대동2가),053-640-7521,2019-09-23
327,달성공원,S2703,대구 도시철도 3호선,Dalseong Park,達城公園,일반역,,,35.875779,128.5820904,대구광역시 대구도시철도공사,대구광역시 중구 달성로 116(수창동),053-640-7521,2019-09-23
328,서문시장,S2703,대구 도시철도 3호선,Seomun Market,西門市場,일반역,,,35.8697503,128.5822416,대구광역시 대구도시철도공사,대구광역시 중구 달성로 50(대신동),053-640-7521,2019-09-23
329,신남,S2703,대구 도시철도 3호선,Sinnam,新南,환승역,S2703+S2702,대구 도시철도 3호선 + 대구 도시철도 2호선,35.8642709,128.5823466,대구광역시 대구도시철도공사,대구광역시 중구 남산로 80(남산동),053-640-7521,2019-09-23
330,남 산,S2703,대구 도시철도 3호선,Namsan,南山,일반역,,,35.8566997,128.5833577,대구광역시 대구도시철도공사,대구광역시 중구 남산로 2(남산동),053-640-7581,2019-09-23
331,명 덕,S2703,대구 도시철도 3호선,Myeongdeok,明德,환승역,S2703+S2701,대구 도시철도 3호선 + 대구 도시철도 1호선,35.8569753,128.5900125,대구광역시 대구도시철도공사,대구광역시 남구 명덕로 186(대명동),053-640-7581,2019-09-23
332,건들바위,S2703,대구 도시철도 3호선,Geondeulbawi,없음,일반역,,,35.8554168,128.599626,대구광역시 대구도시철도공사,대구광역시 남구 명덕로 260(이천동),053-640-7581,2019-09-23
333,대봉교,S2703,대구 도시철도 3호선,Daebonggyo,大鳳橋,일반역,,,35.8550055,128.6063579,대구광역시 대구도시철도공사,대구광역시 남구 명덕로 330(이천동),053-640-7581,2019-09-23
334,수성시장,S2703,대구 도시철도 3호선,Suseong Market,壽城市場,일반역,,,35.8543308,128.6160342,대구광역시 대구도시철도공사,대구광역시 수성구 명덕로 420(수성동2가),053-640-7581,2019-09-23
335,수성구민운동장,S2703,대구 도시철도 3호선,Suseong District Stadium,壽城區民運動場,일반역,,,35.852561,128.6250845,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 248(범어동),053-640-7581,2019-09-23
336,어린이회관,S2703,대구 도시철도 3호선,Children''''''''''''''''''''''''''''''''s Hall,없음,일반역,,,35.8452121,128.6244688,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 166(황금동),053-640-7611,2019-09-23
337,황 금,S2703,대구 도시철도 3호선,Hwanggeum,黃金,일반역,,,35.8391104,128.6239718,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 100(두산동),053-640-7611,2019-09-23
338,수성못,S2703,대구 도시철도 3호선,Suseongmot,없음,일반역,,,35.8313624,128.6231984,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 14(지산동),053-640-7611,2019-09-23
339,지 산,S2703,대구 도시철도 3호선,Jisan,池山,일반역,,,35.8251707,128.631909,대구광역시 대구도시철도공사,대구광역시 수성구 지범로 100(지산동),053-640-7611,2019-09-23
340,범 물,S2703,대구 도시철도 3호선,Beommul,凡勿,일반역,,,35.8208443,128.6400962,대구광역시 대구도시철도공사,대구광역시 수성구 지범로 194(범물동),053-640-7611,2019-09-23
341,용 지,S2703,대구 도시철도 3호선,Yongji,龍池,일반역,,,35.8182735,128.6465169,대구광역시 대구도시철도공사,대구광역시 수성구 범안로 83(범물동),053-640-7611,2019-09-23
