,지점명,지번주소,도로명주소,점포유형,lon,lat
1,강변점,서울 광진구 구의3동 546,서울특별시 광진구 광나루로 56길 85,롯데마트,127.0957088,37.5349372
2,구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트,126.8727381,37.4982529
5,VIC금천점,서울 금천구 독산동 295-10,서울 금천구 두산로 71 ,롯데마트,126.8956692,37.4704705
6,김포공항점,서울 강서구 방화동 886,서울시 강서구 하늘길 38,롯데마트,126.8025118,37.5667733
8,VIC도봉점,서울 도봉구 방학동 717-6,서울 도봉구 마들로 645,롯데마트,127.0454944,37.6675664
9,삼양점,서울 강북구 미아동 1359,서울특별시 강북구 삼양로 247,롯데마트,127.0177185,37.6254731
10,서울역점,서울 중구 봉래동2가 122,서울 중구 청파로 426 ,롯데마트,126.9694999,37.5574069
11,송파점,서울 송파구 문정동 150-2,서울 송파구 중대로 80 ,롯데마트,127.1178672,37.4917416
14,VIC영등포점,서울 영등포구 영등포동8가 62-1,서울 영등포구 영중로 125-0 ,롯데마트,126.905,37.5277778
15,잠실점,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240 롯데마트 잠실점,롯데마트,127.0963012,37.5115176
17,서초점,서울 서초구 서초동 1498-5,서울 서초구 서초대로 38길12 ,롯데마트,127.0057607,37.4908523
20,중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트,127.0709672,37.6466623
22,청량리점,서울 동대문구 전농동 591-53,서울 동대문구 왕산로 214 ,롯데마트,127.0479007,37.5792928
23,행당역점,서울 성동구 행당2동 346번지 한진타운상가 B2~B3층,서울 성동구 행당로 82 한진타운상가 B2~B3층,롯데마트,127.0289482,37.5555573
24,월드타워점,서울시 송파구 신천동 29번지 ,서울 송파구 신천동 올림픽로300 ,롯데마트,127.0995,37.5200705
27,은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트,126.9175566,37.6376074
28,양평점,서울 영등포구 양평동3가 45,서울 영등포구 선유로 138-0 ,롯데마트,126.8913573,37.5264464
29,금천점,서울 금천구 독산동 1155,서울 금천구 시흥대로 291-0 ,롯데마트,126.897128,37.4608459
40,가든5점,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로 10 ,이마트,127.1193703,37.4782316
41,가양점,서울특별시 강서구 가양동 449-19,서울 강서구 양천로 559 ,이마트,126.8622978,37.5578966
42,구로점,서울특별시 구로구 구로동 188-26,서울 구로구 디지털로 32길 43 ,이마트,126.89788,37.4843537
67,논현점,서울 강남구 논현동 164-7,서울 강남구 강남대로 512 ,이마트,127.0233263,37.507989
68,마포점,서울특별시 마포구 신공덕동 173,서울특별시 마포구 백범로 212 ,이마트,126.9533694,37.5424268
69,명일점,서울특별시 강동구 명일동 46-4,서울 강동구 고덕로 276 ,이마트,127.1557517,37.5546516
70,목동점,서울특별시 양천구 목동 962,서울특별시 양천구 오목로 299 ,이마트,126.8703272,37.5257763
71,묵동점,서울특별시 중랑구 묵동 170-1,서울특별시 중랑구 동일로 932 ,이마트,127.0775029,37.613797
72,미아점,서울특별시 성북구 길음동 25-2,서울특별시 성북구 도봉로 17 (길음동),이마트,127.0296051,37.6108648
73,상봉점,서울특별시 중랑구 망우동 506-1,서울 중랑구 상봉로 118 ,이마트,127.0935903,37.596438
74,성수점,서울특별시 성동구 성수동2가 333-16,서울 성동구 뚝섬로 379 ,이마트,127.0531674,37.5399389
75,수색점,서울 은평구 수색동 75,"서울 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1)) ",이마트,126.8993658,37.5785319
76,수서점,서울특별시 강남구 수서동 724,서울특별시 강남구 광평로 280 ,이마트,127.1031088,37.4872829
77,신도림점,서울특별시 구로구 구로동 3-25,서울특별시 구로구 새말로 97 테크노마트 지하2층,이마트,126.8902185,37.5070431
78,신월점,서울특별시 양천구 신월동 26,서울특별시 양천구 화곡로 59 ,이마트,126.8285127,37.5397142
79,양재점,서울특별시 서초구 양재동 204,서울특별시 서초구 매헌로 16 ,이마트,127.0355485,37.4665323
80,여의도점,서울특별시 영등포구 여의도동 47,서울특별시 영등포구 여의동로3길 10 ,이마트,126.9261297,37.5181371
81,역삼점,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로 310 ,이마트,127.048424,37.4992239
82,영등포점,서울특별시 영등포구 영등포동4가 442,서울특별시 영등포구 영중로 15 ,이마트,126.9041419,37.517007
83,왕십리점,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,이마트,127.0383804,37.5617309
84,용산점,서울특별시 용산구  한강로3가 40-999,서울특별시 용산구  한강대로23길 55 ,이마트,126.9640447,37.5288539
85,월계점,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길 15 ,이마트,127.0619091,37.62644
86,은평점,서울 은평구 응암동 90-1,서울 은평구 은평로 111 이마트 은평점,이마트,126.9201131,37.6003028
87,이문점,서울특별시 동대문구 이문동 292-10,서울특별시 동대문구 이문로 136 ,이마트,127.0618484,37.5984506
88,이수점,서울특별시 동작구 사당동 147-29 이수자이 B1,서울특별시 동작구 사당로 300 이수자이 B1,이마트,126.9804085,37.4839828
89,자양점,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 272 ,이마트,127.0726183,37.5376127
90,창동점,서울특별시 도봉구 창동 135-26,서울 도봉구 노해로 65길 4 ,이마트,127.046933,37.6516821
91,천호점,서울특별시 강동구 천호동 454-1,서울 강동구 천호대로 1017 ,이마트,127.1253669,37.5386477
92,청계천점,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400 ,이마트,127.0213284,37.5708733
93,트레이더스 월계점,서울 노원구 월계동 333-1,"서울 노원구 마들로3길 17 (월계동, 월계트레이더스) 이마트 월계점 우측건물 1층",이마트,127.0619079,37.6265118
94,하월곡점,서울특별시 성북구 하월곡동 230,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",이마트,127.0309948,37.604314
95,코스트코 양재점,서울 서초구 양재동 217-6,서울 서초구 양재대로 159,코스트코,127.03607,37.4619661
96,코스트코 양평점,서울 영등포구 양평동3가 65,서울 영등포구 선유로 156,코스트코,126.8921603,37.5276365
97,코스트코 상봉점,서울 중랑구 상봉동 81,서울 중랑구 망우로 336,코스트코,127.0902753,37.5967521
98,가양점,,서울특별시 강서구 양천로 431,홈플러스,126.8499416,37.5642454
99,강동점,,서울특별시 강동구 양재대로 1571,홈플러스,127.1422439,37.5456582
100,강서점,,서울특별시 강서구 화곡로 398,홈플러스,126.8547981,37.5584359
101,금천점,,서울특별시 금천구 시흥대로 391,홈플러스,126.8968106,37.4686493
102,동대문점,,서울특별시 동대문구 천호대로 133,홈플러스,127.0387578,37.5745108
103,면목점,,서울시 중랑구 사가정로 332 (면목동),홈플러스,127.0798833,37.5808178
104,목동점,,서울특별시 양천구 목동서로 170,홈플러스,126.8732314,37.5302083
105,방학점,,서울특별시 도봉구 도봉로 678,홈플러스,127.0435994,37.6648183
106,서울남현점,,서울시 관악구 과천대로 909,홈플러스,126.9826404,37.471482
107,서울상봉점,,서울특별시 중랑구 망우로 353,홈플러스,127.0932913,37.5977195
108,시흥점,,서울특별시 금천구 시흥대로 201,홈플러스,126.900714,37.4519767
109,신내점,,서울특별시 중랑구 신내로 201,홈플러스,127.0937534,37.6157539
110,신도림점,,서울특별시 구로구 경인로 661,홈플러스,126.8877258,37.5093957
111,영등포점,,서울특별시 영등포구 당산로 42,홈플러스,126.8959156,37.5181712
112,월곡점,,서울특별시 성북구 화랑로 76,홈플러스,127.0404475,37.6017142
113,월드컵점,,서울시 마포구 성산동 515 홈플러스월드컵점,홈플러스,126.8973256,37.5675388
114,잠실점,,서울특별시 송파구 올림픽로35가길 16,홈플러스,127.1030143,37.5162099
115,중계점,,서울특별시 노원구 동일로 204가길 12,홈플러스,127.0686402,37.639815
116,합정점,,서울시 마포구 양화로 45,홈플러스,126.9134767,37.5489656
